ds100,name,lat,lon,elevation_m
DGT,Gröditz (b Riesa),51.4113473,13.439312,95.0
FGRO,Groß-Rohrheim,49.7139369,8.4766797,92.0
FWF,Walldorf,50.0013534,8.580857,108.0
BBLW,Bad Liebenwerda,51.5184186,13.4028276,89.0
DGAU,Großschönau (Sachs),50.8926307,14.6655986,327.0
MOET,Oettingen (Bay),48.9459934,10.6015522,417.0
EDKO,Dortmund-Körne,51.5133701,7.5152357,98.0
LHZW,Herzberg (Elster),51.6794431,13.2028483,84.0
LWDK,Wernigerode Hochschule Harz,51.8262197,10.7654169,256.0
DDEZ,Döbeln Zentrum,51.1160597,13.1247933,184.0
DSRH,Seerhausen,51.2702564,13.2400776,116.0
HSHG,Stadthagen,52.3328283,9.1893212,66.0
DROW,Rodewisch,50.5286864,12.3954238,477.0
DSM,Schmölln (Thür),50.8981919,12.3548722,209.0
HLST,Leese-Stolzenau,52.5093677,9.1099414,29.0
LWDT,Wernigerode Westerntor,51.8341082,10.7803358,240.0
LWD,Wernigerode Hbf,51.8401896,10.7888637,235.0
NBOE,Bodenwöhr Nord,49.2784778,12.3257177,379.0
EDST,Dortmund Stadthaus,51.5078252,7.4685975,101.0
BPDC,Potsdam Charlottenhof,52.3928087,13.0366187,36.0
TJNU,Jungnau,48.1387963,9.2140453,611.0
HQ,Quakenbrück,52.674409,7.9478562,25.0
FEDI,Edingen,50.6320552,8.3232948,190.0
BSWH,Schönwalde,52.680272,13.4324653,81.0
ANH,Nordhastedt,54.1689603,9.1803037,12.0
DEA,Erdmannsdorf-Augustusburg,50.8211133,13.0840314,286.0
DZPO,Zschopau Ost,50.7446155,13.0818629,337.0
DWL,Wilischthal,50.7247133,13.0565388,340.0
DSS,Scharfenstein,50.7028565,13.0560215,353.0
DWAB,Warmbad,50.6685527,13.0640895,409.0
DWIE,Thermalbad Wiesenbad,50.6190507,13.0451068,432.0
HVLO,Vlotho,52.1722214,8.8640214,52.0
HWEE,Weener,53.1634122,7.3428884,4.0
KROM,Rommerskirchen,51.0400311,6.6991122,69.0
BMM,Mühlenbeck-Mönchmühle,52.654749,13.3862202,51.0
TWT,Wertheim,49.7618683,9.5131491,140.0
BSHE,Schwante,52.7347724,13.0914875,44.0
BHGM,Hegermühle,52.5483832,13.8663624,68.0
DZP,Zschopau,50.7432347,13.0659072,330.0
EQLK,Quelle Kupferheide,51.994073,8.4766155,117.0
ESBS,Steinhagen(Westf) Bielefelder Straße,52.011442,8.4361467,125.0
EKUE,Künsebeck,52.0366241,8.3845242,122.0
EHAL,Halle (Westf),52.0572773,8.3577677,123.0
EHLN,Hesseln,52.0685263,8.3114747,105.0
HDBR,Dissen-Bad Rothenfelde,52.1119805,8.1850775,101.0
EBK,Borken (Westf),51.8479254,6.8666835,48.0
FF,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808,122.0
HLH,Lindhorst,52.3542551,9.2884643,59.0
MFIN,Fischhausen-Neuhaus,47.7062602,11.8733766,803.0
MGEU,Geitau,47.6939023,11.9661809,782.0
MBZ,Bayrischzell,47.6757044,12.010998,805.0
UP,Pausa,50.5878916,12.0036698,482.0
NHT,Haßfurt,50.0333678,10.5097578,224.0
FK,Kassel Hauptbahnhof,51.3183386,9.4896007,184.0
